date,symbol,name,sector,open_price,high_price,low_price,close_price,prev_close,percent_change,volume,turnover,transactions
2026-03-20,NICLBSL,NICLBSL,Unknown,595.0,610.0,588.2,610.0,585.0,4.27,50717.0,30467862.2,525
2026-03-20,NICSF,NICSF,Unknown,9.49,9.6,9.35,9.6,9.32,3.0,21230.0,201085.0,31
2026-03-20,NIFRA,NIFRA,Unknown,281.0,292.4,281.0,292.0,281.9,3.58,778529.0,225638720.5,2926
2026-03-20,NIFRAGED,NIFRAGED,Unknown,1048.4,1050.0,1034.1,1034.1,1028.0,0.59,846.0,886922.9,6
2026-03-20,NIL,NIL,Unknown,665.7,665.8,658.0,665.0,657.0,1.22,11113.0,7375995.2,129
2026-03-20,NIMB,NIMB,Unknown,213.1,226.7,213.1,223.0,213.1,4.65,812852.0,178797852.3,2009
2026-03-20,NIMBD90,NIMBD90,Unknown,1188.0,1188.0,1188.0,1188.0,1189.0,-0.08,25.0,29700.0,1
2026-03-20,NIMBPO,NIMBPO,Unknown,165.0,166.9,160.5,165.1,163.0,1.29,27060.0,4489066.2,48
2026-03-20,NLG,NLG,Unknown,685.0,712.0,685.0,704.9,695.0,1.42,34835.0,24436690.9,217
2026-03-20,NLIC,NLIC,Unknown,802.0,829.0,800.2,828.0,802.0,3.24,176072.0,144305887.7,775
2026-03-20,NLICL,NLICL,Unknown,620.0,631.0,589.0,620.0,608.6,1.87,71173.0,43818198.0,232
2026-03-20,NMB,NMB,Unknown,249.0,262.9,249.0,260.9,254.0,2.72,221234.0,57349524.8,601
2026-03-20,NMB50,NMB50,Unknown,10.14,10.54,10.14,10.38,10.33,0.48,2150.0,22273.0,9
2026-03-20,NMBD89/90,NMBD89/90,Unknown,1225.0,1225.0,1225.0,1225.0,1246.4,-1.72,25.0,30625.0,1
2026-03-20,NMBHF2,NMBHF2,Unknown,9.65,9.89,9.65,9.74,9.8,-0.61,62120.0,612483.4,41
2026-03-20,NMBMF,NMBMF,Unknown,690.0,704.0,684.1,696.1,687.0,1.32,6021.0,4205536.8,64
2026-03-20,NMFBS,NMFBS,Unknown,1190.0,1197.0,1169.1,1190.0,1185.0,0.42,6481.0,7679658.8,77
2026-03-20,NMIC,NMIC,Unknown,1325.0,1358.0,1308.0,1348.0,1320.0,2.12,10795.0,14523197.0,311
2026-03-20,NMLBBL,NMLBBL,Unknown,652.0,654.9,645.0,653.8,643.0,1.68,23157.0,15075117.6,148
2026-03-20,NRIC,NRIC,Unknown,1268.7,1286.0,1243.9,1279.8,1243.9,2.89,83791.0,106590734.6,838
2026-03-20,NRM,NRM,Unknown,436.0,448.0,436.0,447.4,435.1,2.83,62669.0,27784351.0,513
2026-03-20,NRN,NRN,Unknown,1477.9,1524.0,1419.1,1515.0,1508.0,0.46,312708.0,470632611.4,1510
2026-03-20,NSIF2,NSIF2,Unknown,10.82,11.09,10.82,11.0,10.88,1.1,105669.0,1166156.44,24
2026-03-20,NSY,NSY,Unknown,9.95,9.95,9.5,9.63,10.15,-5.12,29470.0,283924.9,84
2026-03-20,NTC,NTC,Unknown,886.0,890.0,881.0,889.0,879.2,1.11,28123.0,24900160.6,312
2026-03-20,NUBL,NUBL,Unknown,713.0,727.0,712.2,724.0,713.0,1.54,25167.0,18093441.7,147
2026-03-20,NWCL,NWCL,Unknown,878.0,895.5,863.0,875.0,861.0,1.63,7820.0,6846367.2,148
2026-03-20,NYADI,NYADI,Unknown,459.0,482.0,455.0,456.2,450.0,1.38,109064.0,50890823.3,758
2026-03-20,OHL,OHL,Unknown,744.0,750.0,732.4,740.0,730.1,1.36,13877.0,10261691.3,78
2026-03-20,OMPL,OMPL,Unknown,1321.0,1346.9,1321.0,1334.0,1321.0,0.98,14980.0,19928032.3,270
2026-03-20,PBD88,PBD88,Unknown,1171.0,1200.0,1171.0,1200.0,1171.0,2.48,81.0,97194.4,4
2026-03-20,PCBL,PCBL,Unknown,256.7,261.5,252.0,260.0,251.7,3.3,382563.0,98280621.7,686
2026-03-20,PFL,PFL,Unknown,405.0,411.0,398.0,409.9,398.0,2.99,45393.0,18505018.0,289
2026-03-20,PHCL,PHCL,Unknown,347.0,355.0,341.1,345.0,344.9,0.03,348922.0,121808520.0,1596
2026-03-20,PMHPL,PMHPL,Unknown,387.0,401.0,380.0,398.0,387.0,2.84,150929.0,59697169.8,537
2026-03-20,PMLI,PMLI,Unknown,508.0,519.7,501.5,515.0,508.0,1.38,30220.0,15573492.1,382
2026-03-20,PPCL,PPCL,Unknown,416.5,439.0,416.5,434.0,425.0,2.12,207273.0,89377998.9,336
2026-03-20,PPL,PPL,Unknown,401.0,413.0,401.0,406.0,400.0,1.5,258948.0,105324624.7,925
2026-03-20,PRIN,PRIN,Unknown,769.9,769.9,756.0,763.2,758.0,0.69,20152.0,15359558.7,149
2026-03-20,PROFL,PROFL,Unknown,488.0,494.9,480.0,489.0,479.0,2.09,27404.0,13343672.0,191
2026-03-20,PRSF,PRSF,Unknown,11.78,11.78,11.32,11.57,11.55,0.17,8100.0,94248.0,13
2026-03-20,PRVU,PRVU,Unknown,211.0,235.0,211.0,223.3,215.2,3.76,1111074.0,245963145.0,2363
2026-03-20,PSF,PSF,Unknown,11.38,11.65,11.38,11.57,11.6,-0.26,22000.0,254603.0,32
2026-03-20,PURE,PURE,Unknown,961.0,1009.8,960.1,999.0,965.0,3.52,33422.0,32835428.7,372
2026-03-20,RADHI,RADHI,Unknown,875.0,897.0,875.0,884.5,882.0,0.28,316006.0,279239855.7,733
2026-03-20,RAWA,RAWA,Unknown,725.0,727.9,708.6,722.0,720.0,0.28,10709.0,7681936.2,93
2026-03-20,RBBD2088,RBBD2088,Unknown,1066.0,1066.0,1066.0,1066.0,1065.0,0.09,100.0,106600.0,2
2026-03-20,RBBD83,RBBD83,Unknown,1035.0,1035.0,1035.0,1035.0,1049.4,-1.37,25.0,25875.0,1
2026-03-20,RBBF40,RBBF40,Unknown,9.47,9.83,9.3,9.6,9.66,-0.62,5200.0,50042.0,22
2026-03-20,RBCL,RBCL,Unknown,15552.1,15871.0,15552.1,15800.0,15500.0,1.94,1271.0,19999370.0,80
2026-03-20,RBCLPO,RBCLPO,Unknown,12400.0,12647.0,12300.0,12647.0,12300.0,2.82,210.0,2603848.0,7
2026-03-20,RFPL,RFPL,Unknown,402.8,428.8,402.8,423.0,411.0,2.92,452416.0,190292132.3,1487
2026-03-20,RHGCL,RHGCL,Unknown,329.4,353.0,326.0,338.1,323.0,4.67,562902.0,191938826.0,1962
2026-03-20,RHPL,RHPL,Unknown,305.0,324.0,304.0,318.0,304.8,4.33,344619.0,109839861.0,1325
2026-03-20,RIDI,RIDI,Unknown,370.0,377.0,362.5,364.0,370.0,-1.62,1696461.0,626000668.1,3459
2026-03-20,RLFL,RLFL,Unknown,480.0,488.0,477.8,487.0,472.0,3.18,36363.0,17567843.6,252
2026-03-20,RMF1,RMF1,Unknown,9.99,10.0,9.58,9.82,9.8,0.2,225172.0,2184118.12,45
2026-03-20,RMF2,RMF2,Unknown,10.1,10.13,10.1,10.13,10.25,-1.17,12200.0,123431.0,13
2026-03-20,RNLI,RNLI,Unknown,480.0,496.0,480.0,495.0,480.0,3.12,59072.0,28962625.8,858
2026-03-20,RSDC,RSDC,Unknown,668.0,688.5,668.0,687.0,670.0,2.54,36401.0,24776862.3,227
